期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
24144,2024-6-2,1,4,7,6,12,10076,0,TRUE,命中,组六,组六,TRUE,命中,7,6,13,3,FALSE,命中,"19,884","1,040",0,346,"47,150",173,"46,821,474",https://pdf.sporttery.cn/28200/24144/24144.pdf
24143,2024-6-1,1,8,5,7,14,23331,3,TRUE,5055,组六,组六,TRUE,4930,3,1,4,4,FALSE,1796,"17,332","1,040",0,346,"60,269",173,"44,990,298",https://pdf.sporttery.cn/28200/24143/24143.pdf
24142,2024-5-31,4,2,6,4,12,44121,4,FALSE,理论命中率,组六,组六,TRUE,理论命中率,2,1,3,3,FALSE,理论命中率,"12,521","1,040",0,346,"39,326",173,"48,000,814",https://pdf.sporttery.cn/28200/24142/24142.pdf
24141,2024-5-30,8,0,4,8,12,28501,8,FALSE,72.90%,组六,组六,TRUE,57.42%,0,1,1,1,FALSE,27.10%,"11,896","1,040",0,346,"32,953",173,"46,655,590",https://pdf.sporttery.cn/28200/24141/24141.pdf
24140,2024-5-29,5,2,0,5,7,29381,9,TRUE,命中率,组六,组六,TRUE,命中率,8,1,9,9,FALSE,实际命中率,"14,743","1,040",0,346,"37,629",173,"45,671,678",https://pdf.sporttery.cn/28200/24140/24140.pdf
24139,2024-5-28,5,3,6,3,14,54736,4,TRUE,73.09%,组六,组六,TRUE,71.28%,3,6,9,9,FALSE,25.97%,"30,808","1,040",0,346,"85,790",173,"44,338,404",https://pdf.sporttery.cn/28200/24139/24139.pdf
24138,2024-5-27,9,9,7,2,25,6941,9,FALSE,失误,组三,组六,FALSE,失误,4,1,5,5,FALSE,失误,"22,933","1,040","18,017",346,0,173,"48,349,980",https://pdf.sporttery.cn/28200/24138/24138.pdf
24137,2024-5-26,1,2,8,7,11,3311,3,TRUE,1861,组六,组六,TRUE,1986,1,1,2,2,TRUE,5120,"20,022","1,040",0,346,"48,982",173,"46,685,350",https://pdf.sporttery.cn/28200/24137/24137.pdf
24136,2024-5-25,0,6,2,6,8,48906,8,TRUE,失误率,组六,组六,TRUE,,0,6,6,6,TRUE,失误率,"8,521","1,040",0,346,"31,810",173,"45,724,640",https://pdf.sporttery.cn/28200/24136/24136.pdf
24135,2024-5-24,8,9,1,8,18,36201,6,TRUE,26.91%,组六,组六,TRUE,28.72%,0,1,1,1,TRUE,74.03%,"19,661","1,040",0,346,"49,306",173,"48,318,390",https://pdf.sporttery.cn/28200/24135/24135.pdf
24134,2024-5-23,6,6,0,6,12,15356,5,TRUE,,组三,组六,FALSE,,5,6,11,1,FALSE,,"12,365","1,040","18,051",346,0,173,"48,111,982",https://pdf.sporttery.cn/28200/24134/24134.pdf
24133,2024-5-22,2,8,1,7,11,33121,3,TRUE,,组六,组六,TRUE,,2,1,3,3,FALSE,,"8,682","1,040",0,346,"34,454",173,"48,279,260",https://pdf.sporttery.cn/28200/24133/24133.pdf
24132,2024-5-21,6,0,4,6,10,31306,1,TRUE,,组六,组六,TRUE,,0,6,6,6,TRUE,,"18,216","1,040",0,346,"67,530",173,"50,124,256",https://pdf.sporttery.cn/28200/24132/24132.pdf
24131,2024-5-20,5,7,1,6,13,6611,6,TRUE,,组六,组六,TRUE,,1,1,2,2,FALSE,,"10,083","1,040",0,346,"37,921",173,"49,283,966",https://pdf.sporttery.cn/28200/24131/24131.pdf
