期号,开奖日期,开奖号码,间隔
2024144,2024-06-02(日),816,826
2024143,2024-06-01(六),955,5
2024142,2024-05-31(五),813,990
2024141,2024-05-30(四),256,716
2024140,2024-05-29(三),536,687
2024139,2024-05-28(二),748,1069
2024138,2024-05-27(一),955,2101
2024137,2024-05-26(日),982,407
2024136,2024-05-25(六),227,146
2024135,2024-05-24(五),35,
2024134,2024-05-23(四),640,608
2024133,2024-05-22(三),741,1822
2024132,2024-05-21(二),652,632
2024131,2024-05-20(一),69,370
2024130,2024-05-19(日),66,298
2024129,2024-05-18(六),67,212
2024128,2024-05-17(五),573,150
2024127,2024-05-16(四),214,3586
2024126,2024-05-15(三),323,688
2024125,2024-05-14(二),649,1359
2024124,2024-05-13(一),787,245
2024123,2024-05-12(日),183,1067
2024122,2024-05-11(六),708,465
2024121,2024-05-10(五),289,560
2024120,2024-05-09(四),549,1303
2024119,2024-05-08(三),508,622
2024118,2024-05-07(二),343,
2024117,2024-05-06(一),989,155
2024116,2024-05-05(日),851,633
2024115,2024-05-04(六),99,480
2024114,2024-05-03(五),75,2474
2024113,2024-05-02(四),242,257
2024112,2024-05-01(三),630,664
2024111,2024-04-30(二),206,235
2024110,2024-04-29(一),506,881
2024109,2024-04-28(日),181,267
2024108,2024-04-27(六),432,458
2024107,2024-04-26(五),62,2835
2024106,2024-04-25(四),127,
2024105,2024-04-24(三),976,2528
2024104,2024-04-23(二),579,781
2024103,2024-04-22(一),984,1186
2024102,2024-04-21(日),339,302
2024101,2024-04-20(六),594,144
2024100,2024-04-19(五),936,597
2024099,2024-04-18(四),190,275
2024098,2024-04-17(三),620,2122
2024097,2024-04-16(二),389,1453
2024096,2024-04-15(一),129,2448
2024095,2024-04-14(日),257,52
2024094,2024-04-13(六),679,1243
2024093,2024-04-12(五),647,954
2024092,2024-04-11(四),71,225
2024091,2024-04-10(三),564,187
2024090,2024-04-09(二),890,3784
2024089,2024-04-08(一),457,170
2024088,2024-04-07(日),761,1075
2024087,2024-04-06(六),797,589
2024086,2024-04-05(五),532,422
2024085,2024-04-04(四),490,85
2024084,2024-04-03(三),219,1384
2024083,2024-04-02(二),899,1307
2024082,2024-04-01(一),920,66
2024081,2024-03-31(日),108,1141
2024080,2024-03-30(六),775,465
2024079,2024-03-29(五),931,
2024078,2024-03-28(四),397,810
2024077,2024-03-27(三),336,543
2024076,2024-03-26(二),655,2883
2024075,2024-03-25(一),254,712
2024074,2024-03-24(日),41,526
2024073,2024-03-23(六),258,851
2024072,2024-03-22(五),977,734
2024071,2024-03-21(四),213,170
2024070,2024-03-20(三),671,1202
2024069,2024-03-19(二),451,2606
2024068,2024-03-18(一),642,1907
2024067,2024-03-17(日),709,1865
2024066,2024-03-16(六),198,351
2024065,2024-03-15(五),469,7
2024064,2024-03-14(四),9,
2024063,2024-03-13(三),349,764
2024062,2024-03-12(二),377,169
2024061,2024-03-11(一),406,16
2024060,2024-03-10(日),897,2456
2024059,2024-03-09(六),758,1201
2024058,2024-03-08(五),469,1785
